GROUP_ID|LINK_ID|POSITIVE|BND_IDX|CHANGE_IDX|BND_TYPE|COLOR|X|Y|Z
53266500320035910|5326650032003591|0|2|1|1|0|126.6820819|35.8962758|27.95
53266500320037701|5326650032003770|1|1|1|3|0|126.6879931|35.8984263|28.05
53266500320037921|5326650032003792|1|2|1|1|0|126.6892590|35.8974666|27.8209998286041
53266500320037921|5326650032003792|1|2|2|3|0|126.6897592|35.8970999|31.4433718239188
53266500320037921|5326650032003792|1|3|1|1|0|126.6892329|35.8974250|27.887480947026
53266500320037921|5326650032003792|1|3|2|3|0|126.6897318|35.8970588|31.52125
53266500320038071|5326650032003807|1|1|1|3|6|126.6851701|35.8956994|27.8673756209801
53266500320038071|5326650032003807|1|1|2|0|15|126.6851791|35.8958333|27.8431617526348
53266500320038071|5326650032003807|1|1|3|3|6|126.6851804|35.8958527|27.8502571728807
53266500320038071|5326650032003807|1|1|4|7|6|126.6852062|35.8959447|27.9245555226204
53266500320038071|5326650032003807|1|2|1|3|0|126.6852429|35.8957449|27.7498149625017
53266500320038151|5326650032003815|1|3|1|0|15|126.6847379|35.8960776|27.89
53266500320038191|5326650032003819|1|1|1|0|15|126.6851750|35.8958530|27.8215294561316
53266500320038191|5326650032003819|1|1|2|3|6|126.6851734|35.8958334|27.8
53266500320038191|5326650032003819|1|1|3|7|6|126.6851457|35.8957014|27.8351282506217
53266500320038451|5326650032003845|1|3|1|1|0|126.6818321|35.8958494|27.8617525575299
53266500320038460|5326650032003846|0|2|1|3|0|126.6819251|35.8961882|27.87
53266500320038461|5326650032003846|1|2|1|3|0|126.6819790|35.8961307|27.9331488520422
53266500320038751|5326650032003875|1|2|1|0|15|126.6904684|35.8957535|28.0640785839753
53266500320038961|5326650032003896|1|2|1|0|15|126.6871255|35.8984567|29.0841079034448
53266500320039051|5326650032003905|1|3|1|3|6|126.6878143|35.8958811|28.0497140352519
53266500320039201|5326650032003920|1|1|1|0|15|126.6879513|35.8982921|27.901399632399
