GROUP_ID|LINK_ID|POSITIVE|LANE_IDX|L_BND_IDX|R_BND_IDX|ARROW|CONN_TYPE|SHARED
53266500320035910|5326650032003591|0|1|1|2/3|8|0|0
53266500320035911|5326650032003591|1|1|1|2/3|8|0|0
53266500320035930|5326650032003593|0|1|1|2/3|8|0|0
53266500320035931|5326650032003593|1|1|1|2/3|8|0|0
53266500320035950|5326650032003595|0|1|1|2/3|8|0|0
53266500320035951|5326650032003595|1|1|1|2/3|8|0|0
53266500320036061|5326650032003606|1|1|1/2|3/4|40|0|0
53266500320037701|5326650032003770|1|1|1||8|0|0
53266500320037701|5326650032003770|1|2|2||8|0|0
53266500320037701|5326650032003770|1|3|3|4|8|0|0
53266500320037741|5326650032003774|1|1|1/2||8|0|0
53266500320037741|5326650032003774|1|2|3||8|0|0
53266500320037741|5326650032003774|1|3|4|5|8|0|0
53266500320037821|5326650032003782|1|1|1|2/3|8|0|0
53266500320037921|5326650032003792|1|1|1/2|3/4/5|8|0|0
53266500320037931|5326650032003793|1|1|1/2/3|4/5/6|48|0|0
53266500320037951|5326650032003795|1|1|1/2|3/4|8|0|0
53266500320037991|5326650032003799|1|1|1/2|3/4|8|0|0
53266500320038051|5326650032003805|1|1|1/2|3|8|0|0
53266500320038061|5326650032003806|1|1|1/2|3/4/5|8|0|0
53266500320038071|5326650032003807|1|1|1|2/3|8|0|0
53266500320038081|5326650032003808|1|1|1/2|3/4|10|0|0
53266500320038101|5326650032003810|1|1|1/2|3/4|40|0|0
53266500320038131|5326650032003813|1|1|1/2|3|40|0|0
53266500320038141|5326650032003814|1|1|1/2|3|8|0|0
53266500320038150|5326650032003815|0|1|1|2/3|8|0|0
53266500320038151|5326650032003815|1|1|1|2/3|40|0|0
53266500320038191|5326650032003819|1|1|1|2/3|32|0|0
53266500320038261|5326650032003826|1|1|1/2/3/4||8|0|0
53266500320038261|5326650032003826|1|2|5||8|0|0
53266500320038261|5326650032003826|1|3|6||8|0|0
53266500320038261|5326650032003826|1|4|7||8|0|0
53266500320038261|5326650032003826|1|5|8|9/10/11|8|0|0
53266500320038291|5326650032003829|1|1|1/2||264|0|0
53266500320038291|5326650032003829|1|2|3||8|0|0
53266500320038291|5326650032003829|1|3|4||8|0|0
53266500320038291|5326650032003829|1|4|5|6/7|8|0|0
53266500320038331|5326650032003833|1|1|1/2/3||8|0|0
53266500320038331|5326650032003833|1|2|4|5|8|0|0
53266500320038401|5326650032003840|1|1|1/2|3/4|10|0|0
53266500320038411|5326650032003841|1|1|1|2|8|0|0
53266500320038421|5326650032003842|1|1|1|2|10|0|0
53266500320038440|5326650032003844|0|1|1|2/3|8|0|0
53266500320038441|5326650032003844|1|1|1||8|0|0
53266500320038441|5326650032003844|1|2|2|3/4|520|1|0
53266500320038450|5326650032003845|0|1|1|2/3|8|0|0
53266500320038451|5326650032003845|1|1|1||8|0|0
53266500320038451|5326650032003845|1|2|2|3/4|8|2|0
53266500320038460|5326650032003846|0|1|1|2/3|8|0|0
53266500320038461|5326650032003846|1|1|1|2|8|0|0
53266500320038491|5326650032003849|1|1|1|2/3|8|0|0
53266500320038531|5326650032003853|1|1|1/2|3/4|8|0|0
53266500320038631|5326650032003863|1|1|1/2|3/4|2|0|0
53266500320038661|5326650032003866|1|1|1/2|3/4|8|0|0
53266500320038671|5326650032003867|1|1|1/2|3/4|8|0|0
53266500320038681|5326650032003868|1|1|1/2|3/4|8|0|0
53266500320038691|5326650032003869|1|1|1/2|3/4|8|0|0
53266500320038711|5326650032003871|1|1|1|2|8|0|0
53266500320038731|5326650032003873|1|1|1/2|3/4|8|0|0
53266500320038751|5326650032003875|1|1|1/2||8|0|0
53266500320038751|5326650032003875|1|2|3||8|0|0
53266500320038751|5326650032003875|1|3|4||8|0|0
53266500320038751|5326650032003875|1|4|5|6/7|536|1|0
53266500320038771|5326650032003877|1|1|1/2|3|8|0|0
53266500320038800|5326650032003880|0|1|1|2/3|8|0|0
53266500320038801|5326650032003880|1|1|1|2/3|8|0|0
53266500320038811|5326650032003881|1|1|1/2|3/4|8|0|0
53266500320038821|5326650032003882|1|1|1/2|3/4/5|8|0|0
53266500320038831|5326650032003883|1|1|1/2|3/4|8|0|0
53266500320038841|5326650032003884|1|1|1/2/3|4/5/6|8|0|0
53266500320038861|5326650032003886|1|1|1/2|3/4|8|0|0
53266500320038871|5326650032003887|1|1|1/2|3/4|8|0|0
53266500320038891|5326650032003889|1|1|1/2|3/4|8|0|0
53266500320038901|5326650032003890|1|1|1/2|3/4|8|0|0
53266500320038911|5326650032003891|1|1|1/2|3/4/5|8|0|0
53266500320038921|5326650032003892|1|1|1/2|3/4|8|0|0
53266500320038941|5326650032003894|1|1|1|2/3|2|0|0
53266500320038961|5326650032003896|1|1|1/2||8|0|0
53266500320038961|5326650032003896|1|2|3||8|0|0
53266500320038961|5326650032003896|1|3|4|5/6|8|0|0
53266500320038971|5326650032003897|1|1|1/2|3/4|8|0|0
53266500320038991|5326650032003899|1|1|1/2|3/4/5/6|8|0|0
53266500320039001|5326650032003900|1|1|1/2|3|8|0|0
53266500320039011|5326650032003901|1|1|1/2/3||8|0|0
53266500320039011|5326650032003901|1|2|4|5|8|0|0
53266500320039021|5326650032003902|1|1|1/2/3||8|0|0
53266500320039021|5326650032003902|1|2|4|5|8|0|0
53266500320039031|5326650032003903|1|1|1/2/3||8|0|0
53266500320039031|5326650032003903|1|2|4|5|8|0|0
53266500320039041|5326650032003904|1|1|1/2/3||8|0|0
53266500320039041|5326650032003904|1|2|4|5|8|0|0
53266500320039051|5326650032003905|1|1|1/2/3||8|0|0
53266500320039051|5326650032003905|1|2|4||8|0|0
53266500320039051|5326650032003905|1|3|5|6/7|8|0|0
53266500320039061|5326650032003906|1|1|1/2||8|0|0
53266500320039061|5326650032003906|1|2|3||8|0|0
53266500320039061|5326650032003906|1|3|4|5/6|8|0|0
53266500320039071|5326650032003907|1|1|1/2||8|0|0
53266500320039071|5326650032003907|1|2|3||8|0|0
53266500320039071|5326650032003907|1|3|4|5/6|8|0|0
53266500320039081|5326650032003908|1|1|1/2||8|0|0
53266500320039081|5326650032003908|1|2|3||8|0|0
53266500320039081|5326650032003908|1|3|4|5/6|8|0|0
53266500320039101|5326650032003910|1|1|1/2|3/4|8|0|0
53266500320039111|5326650032003911|1|1|1/2|3|8|0|0
53266500320039121|5326650032003912|1|1|1/2|3/4|8|0|0
53266500320039131|5326650032003913|1|1|1/2|3/4|8|0|0
53266500320039151|5326650032003915|1|1|1/2|3/4|8|0|0
53266500320039161|5326650032003916|1|1|1/2|3/4|56|0|0
53266500320039171|5326650032003917|1|1|1/2|3/4|8|0|0
53266500320039191|5326650032003919|1|1|1|2/3|8|0|0
