CONN_ID|MAN_ID|IN_LANE|OUT_LANE
4294248|1675124|1|1
4294249|1675125|1|1
4303942|1679796|1|1
4303943|1679797|1|1
4303944|1679798|1|1
4303945|1679799|1|1
4303946|1679799|2|2
4303947|1679800|1|1
4303948|1679801|1|1
4303949|1679801|2|1
4303950|1679802|1|1
4303951|1679803|1|1
4303952|1679804|1|1
4303953|1679805|1|1
4303954|1679806|1|1
4303955|1679807|1|1
4303956|1679808|1|1
4303957|1679809|1|1
4303958|1679810|1|1
4303960|1679812|1|1
4303961|1679813|1|1
4303962|1679814|1|1
4303963|1679815|1|1
4303964|1679816|1|1
4303965|1679817|1|1
4303966|1679818|1|1
4303968|1679820|1|1
4303969|1679821|1|1
4303971|1679823|1|1
4303972|1679824|1|1
4303973|1679825|1|1
4303974|1679811|1|1
4303975|1679819|1|1
4303976|1679822|1|1
4303977|1679826|1|1
4303978|1679827|1|1
4303979|1679828|1|1
4303980|1679829|1|1
4303981|1679830|1|1
4303982|1679831|1|1
4303983|1679832|1|1
4303984|1679833|1|1
4303985|1679834|1|1
4303986|1679835|1|1
4303987|1679836|1|1
4303988|1679837|1|1
4303989|1679838|1|1
4303990|1679839|1|1
4303991|1679840|1|1
4303992|1679841|1|1
4303993|1679842|1|1
4303994|1679843|1|1
4303995|1679844|1|1
4303997|1679845|1|1
4303998|1679846|1|1
4303999|1679847|1|1
4304000|1679848|1|1
4304001|1679849|1|1
4304002|1679850|1|1
4304003|1679851|1|1
4304004|1679852|1|1
4304005|1679853|1|1
4304014|1679856|1|1
4304015|1679857|1|1
4304016|1679857|2|2
4304017|1679857|3|3
4304018|1679858|1|3
4304019|1679859|1|1
4304020|1679859|2|2
4304021|1679859|3|3
4304026|1679860|1|1
4304027|1679860|2|2
4304028|1679860|3|3
4304029|1679860|3|4
4304037|1679863|4|1
4304038|1679863|4|2
4304039|1679863|4|3
4304040|1679863|4|4
4304041|1679863|4|5
4304042|1679864|4|1
4304043|1679865|1|1
4304044|1679866|1|1
4304045|1679867|2|1
4304046|1679867|3|2
4304047|1679867|4|3
4304048|1679868|1|1
4304049|1679868|2|2
4304050|1679868|3|3
4304051|1679869|1|1
4304052|1679869|2|2
4304053|1679869|3|3
4304062|1679870|1|1
4304066|1679871|1|1
4304087|1679873|1|1
4304089|1679875|1|1
4304093|1679878|1|1
4304094|1679879|1|1
4304099|1679884|1|1
4304102|1679885|1|1
4304111|1679795|1|1
4304112|1679795|1|2
4304127|1679862|1|1
4304128|1679862|1|2
4304129|1679862|2|3
4304130|1679862|3|4
4304152|1679892|1|1
4304153|1679892|2|1
4304154|1679892|3|1
4304155|1679892|4|1
4304156|1679892|5|1
4304158|1679893|1|1
4304159|1679893|2|2
4304164|1679895|1|1
4304165|1679895|2|2
4304167|1679897|1|1
4304177|1679898|1|1
4304178|1679899|1|1
4304179|1679900|1|1
4304180|1679901|1|1
4304779|1680239|1|1
4304780|1680239|2|2
4304781|1680239|3|3
4304782|1680240|1|1
4304783|1680241|1|1
4304784|1680241|2|2
4304785|1680241|3|3
4304786|1679894|1|1
4304787|1679894|2|2
4304788|1680243|1|1
4304789|1680243|2|2
4304790|1680244|1|1
4304791|1680244|2|2
4304792|1680245|1|1
4304793|1680246|1|1
4304794|1680247|1|1
4304795|1680248|1|1
4304796|1680249|1|1
4305442|1680645|1|1
