GROUP_ID|BND_IDX|BND_TYPE|COLOR|BND_COVER
53266500320036064|1|11|15|0
53266500320036064|2|3|6|0
53266500320036064|3|1|0|0
53266500320036064|4|3|0|0
53266500320036064|5|0|15|0
53266500320037702|1|0|15|0
53266500320037702|2|3|0|0
53266500320037702|3|5|0|0
53266500320037702|4|1|0|0
53266500320037702|5|1|0|0
53266500320037702|6|3|0|0
53266500320037742|1|22|15|0
53266500320037742|2|3|6|0
53266500320037742|3|1|0|0
53266500320037742|4|1|0|0
53266500320037742|5|4|0|0
53266500320037742|6|3|0|0
53266500320037742|7|0|15|0
53266500320037934|1|3|0|0
53266500320037934|2|0|15|0
53266500320038052|1|11|15|0
53266500320038052|2|3|6|0
53266500320038052|3|1|0|0
53266500320038052|4|3|0|0
53266500320038052|5|0|15|0
53266500320038062|1|11|15|0
53266500320038062|2|3|6|0
53266500320038062|3|1|0|0
53266500320038062|4|3|0|0
53266500320038062|5|0|15|0
53266500320038082|1|0|15|0
53266500320038082|2|3|0|0
53266500320038082|3|3|0|0
53266500320038082|4|3|0|0
53266500320038082|5|0|15|0
53266500320038104|1|0|15|0
53266500320038104|2|3|0|0
53266500320038104|3|7|6|0
53266500320038104|4|3|0|0
53266500320038104|5|0|15|0
53266500320038134|1|11|15|0
53266500320038134|2|3|6|0
53266500320038134|3|7|6|0
53266500320038134|4|7|0|0
53266500320038144|1|11|15|0
53266500320038144|2|3|6|0
53266500320038144|3|0|15|0
53266500320038144|4|7|6|0
53266500320038144|5|7|0|3
53266500320038154|1|3|6|0
53266500320038154|2|1|0|1
53266500320038154|3|7|0|3
53266500320038154|4|3|0|0
53266500320038154|5|0|15|0
53266500320038194|1|3|0|0
53266500320038194|2|0|15|0
53266500320038292|1|0|15|0
53266500320038292|2|3|0|0
53266500320038292|3|4|0|0
53266500320038292|4|1|0|0
53266500320038292|5|1|0|0
53266500320038292|6|3|0|0
53266500320038292|7|0|15|0
53266500320038404|1|3|0|0
53266500320038404|2|0|15|0
53266500320038404|3|22|15|0
53266500320038424|1|0|15|0
53266500320038494|1|7|0|1
53266500320038494|2|3|0|0
53266500320038494|3|0|15|0
53266500320038672|1|11|15|0
53266500320038672|2|1|0|0
53266500320038672|3|3|0|0
53266500320038672|4|0|15|0
53266500320038754|1|0|15|0
53266500320038754|2|3|0|0
53266500320038754|3|4|0|0
53266500320038754|4|1|0|0
53266500320038754|5|1|0|0
53266500320038754|6|5|0|0
53266500320038754|7|3|0|2
53266500320038754|8|0|15|0
53266500320038822|1|0|15|0
53266500320038822|2|3|0|0
53266500320038822|3|0|15|0
53266500320038822|4|3|0|0
53266500320038822|5|3|0|0
53266500320038822|6|0|15|0
53266500320038862|1|0|15|0
53266500320038862|2|3|0|0
53266500320038862|3|3|0|0
53266500320038862|4|3|0|0
53266500320038862|5|0|15|0
53266500320039024|1|3|0|0
53266500320039024|2|3|0|0
53266500320039164|1|3|0|0
53266500320039164|2|0|15|0
