GROUP_ID|LANE_IDX|CONN_ID|L_BND_IDX|R_BND_IDX|LANE_TYPE|SHARED
53266500320036064|1|4303975|1/2|3|0|0
53266500320036064|2|4303968|||0|0
53266500320036064|3|4303969||4/5|0|0
53266500320037702|1|4304014|1/2||1|0
53266500320037702|2|4304015|3||0|0
53266500320037702|3|4304016|4||0|0
53266500320037702|4|4304017|5|6|0|0
53266500320037742|1|4304019|1/2||0|0
53266500320037742|2|4304020|3||0|0
53266500320037742|3|4304021|4||0|0
53266500320037742|4|4304018|5|6/7|1|0
53266500320037934|1|4305442|||0|0
53266500320037934|2|4304179|||0|0
53266500320037934|3|4304180||1/2|0|0
53266500320038052|1|4303964|1/2||0|0
53266500320038052|2|4303961|3|4/5|0|0
53266500320038062|1|4303965|1/2||0|0
53266500320038062|2|4303966|3|4/5|0|0
53266500320038082|1|4303992|1/2||0|0
53266500320038082|2|4303993|3|4/5|0|0
53266500320038104|1|4303977|1/2|3|0|0
53266500320038104|2|4303978||4/5|0|0
53266500320038134|1|4303976|1/2||0|0
53266500320038134|2|4303971|3|4|0|0
53266500320038144|1|4303962|1/2|3|0|0
53266500320038144|2|4303963|4|5|0|0
53266500320038154|1|4303960|1|2|0|0
53266500320038154|2|4303974|3|4/5|0|0
53266500320038194|1|4303973||1/2|0|0
53266500320038264|1|4304152|||0|0
53266500320038264|2|4304153|||0|0
53266500320038264|3|4304154|||0|0
53266500320038264|4|4304155|||0|0
53266500320038264|5|4304156|||0|0
53266500320038292|1|4304044|1/2||2|0
53266500320038292|2|4304045|3||0|0
53266500320038292|3|4304046|4||0|0
53266500320038292|4|4304047|5|6/7|0|0
53266500320038404|1|4303988|||0|0
53266500320038404|2|4303989||1/2/3|0|0
53266500320038424|1|4303990|1||0|0
53266500320038424|2|4303991|||0|0
53266500320038494|1|4303972|1|2/3|0|0
53266500320038672|1|4303985|1||0|0
53266500320038672|2|4303986|2|3/4|0|0
53266500320038754|1|4304127|1/2||0|0
53266500320038754|2|4304128|3||0|0
53266500320038754|3|4304129|4||0|0
53266500320038754|4|4304130|5||0|0
53266500320038754|5|4304037|6||0|0
53266500320038754|6|4304038|||0|0
53266500320038754|7|4304039|||0|0
53266500320038754|8|4304040|||0|0
53266500320038754|9|4304041|||0|0
53266500320038754|10|4304042||7/8|0|0
53266500320038822|1|4303983|1/2||0|0
53266500320038822|2|4303982|3/4|5/6|0|0
53266500320038862|1|4304001|1/2||0|0
53266500320038862|2|4304004|3|4/5|0|0
53266500320038944|1|4304043|||0|0
53266500320039024|1|4304167|||0|0
53266500320039024|2|4304164|||0|0
53266500320039024|3|4304165|1|2|0|0
53266500320039164|1|4304093|||0|0
53266500320039164|2|4304094|||0|0
53266500320039164|3|4304178||1/2|0|0
53266500320039204|1|4304087|||0|0
53266500320039204|2|4304089|||0|0
53266500320039204|3|4304177|||0|0
