MAN_ID|SEQ_NO|LINK_ID|POSITIVE_DIR
1675124|1|5326650032003910|1
1675124|2|5326650032003853|1
1675125|1|5326650032003853|1
1675125|2|5326650032003913|1
1679795|1|5326650032003880|1
1679795|2|5326650032003844|1
1679796|1|5326650032003879|1
1679796|2|5326650032003880|1
1679797|1|5326650032003880|0
1679797|2|5326650032003879|0
1679798|1|5326650032003844|0
1679798|2|5326650032003880|0
1679799|1|5326650032003844|1
1679799|2|5326650032003845|1
1679800|1|5326650032003845|0
1679800|2|5326650032003844|0
1679801|1|5326650032003845|1
1679801|2|5326650032003846|1
1679802|1|5326650032003846|0
1679802|2|5326650032003845|0
1679803|1|5326650032003846|1
1679803|2|5326650032003591|1
1679804|1|5326650032003591|0
1679804|2|5326650032003846|0
1679805|1|5326650032003591|1
1679805|2|5326650032003593|1
1679806|1|5326650032003593|0
1679806|2|5326650032003591|0
1679807|1|5326650032003593|1
1679807|2|5326650032003595|1
1679808|1|5326650032003595|0
1679808|2|5326650032003593|0
1679809|1|5326650032003595|1
1679809|2|5326650032003815|1
1679810|1|5326650032003815|0
1679810|2|5326650032003595|0
1679811|1|5326650032003815|1
1679811|2|5326650032003820|1
1679811|3|5326650032003819|1
1679812|1|5326650032003815|1
1679812|2|5326650032003816|1
1679812|3|5326650032003805|1
1679813|1|5326650032003807|1
1679813|2|5326650032003806|1
1679814|1|5326650032003814|1
1679814|2|5326650032003805|1
1679815|1|5326650032003814|1
1679815|2|5326650032003818|1
1679815|3|5326650032003819|1
1679816|1|5326650032003805|1
1679816|2|5326650032003806|1
1679817|1|5326650032003806|1
1679817|2|5326650032003606|1
1679818|1|5326650032003799|1
1679818|2|5326650032003606|1
1679819|1|5326650032003606|1
1679819|2|5326650032003813|1
1679820|1|5326650032003606|1
1679820|2|5326650032003847|1
1679820|3|5326650032003849|1
1679821|1|5326650032003606|1
1679821|2|5326650032003847|1
1679821|3|5326650032003897|1
1679822|1|5326650032003813|1
1679822|2|5326650032003814|1
1679823|1|5326650032003813|1
1679823|2|5326650032003817|1
1679823|3|5326650032003815|0
1679824|1|5326650032003849|1
1679824|2|5326650032003815|0
1679825|1|5326650032003819|1
1679825|2|5326650032003868|1
1679826|1|5326650032003810|1
1679826|2|5326650032003804|1
1679826|3|5326650032003868|1
1679827|1|5326650032003810|1
1679827|2|5326650032003807|1
1679828|1|5326650032003868|1
1679828|2|5326650032003869|1
1679829|1|5326650032003869|1
1679829|2|5326650032003881|1
1679830|1|5326650032003881|1
