FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-84.98178070765442/-0.5083712336473892/-1490.6864637273993,0.0/0.0/0.0,B319BS010001
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-82.84701757156135/-0.5308202422513225/-1500.3769144925805,0.0/0.0/0.0,B319BS010002
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-80.75715617047065/-0.5050706461070369/-1489.7478075304266,0.0/0.0/0.0,B319BS010003
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-71.13476492259402/-0.5509480014121149/-1497.9954738021406,0.0/0.0/0.0,B319BS010004
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-70.76925701770838/-0.5482123619442643/-1482.0855667547455,0.0/0.0/0.0,B319BS010005
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-70.68472070379356/-0.5584507362276164/-1502.243572657053,0.0/0.0/0.0,B319BS010006
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-82.95352143916114/-0.5100338037846399/-1480.2948073315756,0.0/0.0/0.0,B319BS010007
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-71.29491132422794/-0.5417055125441277/-1477.8834737054067,0.0/0.0/0.0,B319BS010008
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,75.99925215263644/-0.5590007934570308/-722.3380142403398,0.0/0.0/0.0,B319BS010009
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,526.027847365558/0.027729006999187723/129.06087234292505,0.0/0.0/0.0,B319BS010010
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-59.32583750129576/-0.5447772046556479/-1184.2629395924641,0.0/0.0/0.0,B319BS010011
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-59.95308206246418/-0.5331584123424519/-1186.477391203139,0.0/0.0/0.0,B319BS010012
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-61.34897327704544/-0.5416586713097498/-1187.9044944666064,0.0/0.0/0.0,B319BS010013
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-52.79624561823689/-0.5535925810373213/-1207.4458987897863,0.0/0.0/0.0,B319BS010014
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-55.035122488893144/-0.5555192652601825/-1206.843509725911,0.0/0.0/0.0,B319BS010015
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-56.746856978288214/-0.5642002364923594/-1205.853760694743,0.0/0.0/0.0,B319BS010016
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-32.68534605688735/-0.5111579194670521/-1219.0974509972802,0.0/0.0/0.0,B319BS010017
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-30.445258765525534/-0.5040903580647369/-1219.6591937715573,0.0/0.0/0.0,B319BS010018
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-29.04741464963933/-0.506843127164152/-1221.2270714178198,0.0/0.0/0.0,B319BS010019
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-17.882412256761476/-0.5015819412729596/-1214.2467332257763,0.0/0.0/0.0,B319BS010020
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-18.441497080310807/-0.4984100687313119/-1216.4977586554498,0.0/0.0/0.0,B319BS010021
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-19.561974497630814/-0.506345994348048/-1218.0722283448015,0.0/0.0/0.0,B319BS010022
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-28.164226520213376/-0.5236814538136305/-1234.1745976496645,0.0/0.0/0.0,B319BS010023
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-27.602324415694518/-0.5133381284868146/-1231.910870646894,0.0/0.0/0.0,B319BS010024
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-26.579304041405766/-0.5163098714051669/-1230.2525559913165,0.0/0.0/0.0,B319BS010025
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-79.3999649528349/-0.632423495360769/-1250.7131681681492,0.0/0.0/0.0,B319BS010026
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-81.6517999148548/-0.6214924311882725/-1250.1087374743695,0.0/0.0/0.0,B319BS010027
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-75.13037447197331/-0.5551889068655406/-1213.7724929050942,0.0/0.0/0.0,B319BS010028
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-74.497711319826/-0.5581150831851908/-1211.5642759850896,0.0/0.0/0.0,B319BS010029
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-73.70399431837107/-0.5553580575963188/-1209.7429424693878,0.0/0.0/0.0,B319BS010030
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-81.98996752337914/-0.565198782101805/-1192.6074643966792,0.0/0.0/0.0,B319BS010031
